,ea_id,obs_year,obs_monthnum,mzprice_lag1,mzprice_lag2,mzprice_lag3,mzprice_lag4,mzprice_lag5,mzprice_lag6,mzprice_lag7,mzprice_lag8,mzprice_lag9,mzprice_lag10,mzprice_lag11,mzprice_lag12
1784,30710157,2010,7,35.04999542236328,33.1487922668457,31.24759292602539,37.19071960449219,34.42621994018555,33.51954650878906,40.26665496826172,47.013771057128906,44.324832916259766,43.62932586669922,42.93381881713867,42.238304138183594
1785,30710451,2011,1,36.05637741088867,33.126834869384766,33.46014404296875,34.033721923828125,34.2244758605957,32.616214752197266,35.239601135253906,32.3697509765625,29.49990463256836,37.58842468261719,33.93772506713867,32.39512252807617
1786,30710633,2019,12,278.6830749511719,246.16217041015625,245.92039489746094,239.55909729003906,189.94009399414062,163.32998657226562,142.3793182373047,186.97801208496094,288.166015625,332.1639099121094,335.4936828613281,167.58937072753906
1787,30710634,2019,9,234.4312744140625,189.94020080566406,163.32998657226562,142.1476287841797,187.18124389648438,291.1890869140625,331.517822265625,336.4603576660156,166.99191284179688,143.9229736328125,141.58035278320312,141.44296264648438
1788,30710635,2020,2,200.0,297.6829833984375,275.4037780761719,241.26904296875,238.8783416748047,236.6405029296875,189.9394989013672,163.32998657226562,141.4738006591797,183.99191284179688,291.1475830078125,331.839599609375
1789,30710636,2019,5,185.30105590820312,293.9167175292969,331.76007080078125,334.53961181640625,165.5089874267578,141.79638671875,143.61669921875,142.64627075195312,139.29542541503906,131.1713409423828,108.25074005126953,94.51903533935547
1790,30710681,2016,7,240.2609405517578,191.91258239746094,143.15908813476562,191.59347534179688,232.9140625,243.39988708496094,196.47891235351562,160.06613159179688,164.49928283691406,157.3846435546875,145.71676635742188,140.6934814453125
1791,30710682,2017,2,115.83638763427734,244.67959594726562,243.8135986328125,245.2768096923828,249.99673461914062,257.3287353515625,253.2212371826172,239.3218231201172,193.43624877929688,145.4288330078125,196.53564453125,228.32339477539062
1792,30710683,2016,10,249.6045684814453,257.7155456542969,253.72836303710938,239.16749572753906,192.7980499267578,145.3645477294922,196.40658569335938,226.16371154785156,240.63345336914062,197.6790008544922,159.41038513183594,160.7209014892578
1793,30710684,2017,4,136.19839477539062,133.27923583984375,115.99755859375,245.24085998535156,244.35887145996094,247.77581787109375,253.41749572753906,258.8515930175781,252.36444091796875,239.87010192871094,190.52188110351562,146.7765655517578
