ea_id,panel
10101016,1
10101204,1
10101215,1
10101562,1
10102004,1
10103414,1
10104150,1
10201688,1
10202514,1
10203176,1
10203744,1
10204322,1
10204586,1
10220103,1
10220705,1
10301663,1
10302010,1
10304012,1
10305446,1
10307413,1
10308636,1
10401140,1
10401502,1
10401522,1
10404186,1
10405213,1
10501505,1
10501709,1
10502268,1
10502593,1
10503367,1
10505136,1
10505310,1
10505508,1
10507175,1
10507344,1
10509319,1
10510388,1
10732192,1
10733640,1
10734370,1
10734762,1
10735173,1
10736596,1
10741504,1
10744649,1
10746033,1
10746244,1
20106042,1
20110620,1
20111718,1
20112661,1
20113112,1
20115434,1
20205207,1
20206362,1
20302539,1
20303065,1
20305301,1
20306557,1
20402198,1
20404032,1
20404575,1
20405366,1
20407398,1
20407481,1
20507089,1
20507459,1
20508349,1
20601141,1
20601626,1
20602363,1
20603090,1
20603533,1
20604638,1
20605302,1
20607260,1
20607315,1
20610050,1
20610249,1
20613324,1
20614477,1
20615064,1
20615735,1
20702471,1
20704738,1
20705372,1
20706163,1
20801046,1
20802019,1
20803156,1
20804405,1
20804768,1
20806131,1
20807727,1
20808421,1
20903583,1
20906524,1
20906605,1
20908088,1
20908119,1
20909113,1
21037030,1
21037536,1
21048764,1
21051203,1
21052427,1
21053745,1
21055241,1
21055693,1
21066096,1
21066339,1
21074510,1
21077725,1
21080308,1
21081573,1
21086069,1
21086436,1
21087531,1
21088597,1
30101280,1
30101545,1
30102028,1
30102540,1
30103074,1
30104708,1
30105325,1
30105448,1
30107624,1
30108401,1
30109724,1
30202252,1
30206341,1
30206572,1
30208396,1
30212307,1
30212492,1
30302601,1
30305082,1
30305277,1
30305580,1
30306087,1
30306555,1
30307678,1
30403444,1
30406710,1
30501383,1
30502456,1
30503685,1
30504518,1
30602235,1
30620196,1
30703381,1
30704313,1
30705391,1
30706619,1
30708665,1
30709438,1
30710079,1
30711684,1
30801672,1
30801679,1
30803115,1
30804416,1
30805259,1
30806611,1
30901054,1
30901475,1
30901603,1
31001333,1
31001749,1
31002169,1
31004312,1
31006556,1
31007335,1
31108703,1
31201007,1
31201104,1
31201197,1
31201516,1
31204618,1
31432523,1
31432676,1
31435120,1
31435753,1
31436695,1
31438690,1
31439102,1
31441389,1
31442394,1
31443108,1
31443270,1
31532674,1
31533095,1
31536118,1
31536751,1
31539670,1
31540419,1
31545384,1
31546760,1
31550254,1
31552686,1
31554613,1
31555614,1
10101100,0
10101101,0
10101102,0
10101103,0
10101104,0
10101105,0
10101106,0
10101107,0
10101108,0
10101219,0
10101355,0
10101374,0
10101470,0
10101568,0
10101706,0
10102107,0
10102108,0
10102109,0
10102110,0
10102111,0
10102112,0
10102379,0
10102621,0
10103111,0
10103112,0
10103113,0
10103114,0
10103115,0
10103452,0
10103681,0
10104116,0
10104117,0
10104118,0
10104351,0
10104440,0
10105114,0
10105115,0
10105119,0
10105120,0
10105121,0
10105352,0
10105511,0
10105513,0
10106116,0
10106117,0
10107118,0
10109119,0
10109120,0
10109121,0
10120122,0
10120123,0
10120286,0
10120288,0
10201124,0
10201125,0
10201126,0
10201127,0
10201128,0
10201129,0
