"","obs_month","obs_year","mz_mean","mz_sd"
"1",1,2007,34.4121908957316,1.84838935858784
"2",2,2007,40.6141328502232,2.083362891859
"3",3,2007,45.6291909184976,7.99646355315361
"4",4,2007,35.7306353380655,3.87147704636786
"5",5,2007,15.2532768221336,2.1874166048211
"6",6,2007,15.3864945296454,1.61020172050755
"7",7,2007,16.258850268524,1.71557746274449
"8",8,2007,17.7622404380844,1.69107211195172
"9",9,2007,19.0207093678763,2.5490275929775
"10",10,2007,21.2718285847865,1.83104355730566
"11",11,2007,24.1294612191325,1.51964421420884
"12",12,2007,29.634203756619,3.72139015728406
"13",1,2008,66.6581475793965,11.6712725711704
"14",2,2008,68.1886441542335,11.715630721783
"15",3,2008,57.1701292236449,6.13454116551442
"16",4,2008,46.1516142907453,2.54453372280998
"17",5,2008,32.9052306999949,3.6716378085325
"18",6,2008,37.6561425854478,3.02370535242024
"19",7,2008,48.0400962165418,4.49956149502779
"20",8,2008,56.6133024330439,2.94401669908085
"21",9,2008,61.6834348084864,9.08907530016217
"22",10,2008,54.3921475066108,3.09631358322531
"23",11,2008,55.9779903404155,5.58941735825308
"24",12,2008,67.6340157136852,13.2738910044212
"25",1,2009,60.4866825545132,9.81845423106348
"26",2,2009,53.3393493927564,6.41728144496743
"27",3,2009,46.1920162344715,3.24569790308289
"28",4,2009,39.0446830741823,2.11215647548312
"29",5,2009,34.3083946011175,1.59935597274622
"30",6,2009,34.7769428482775,3.917491651895
"31",7,2009,35.8945915377762,3.98566411946355
"32",8,2009,37.0122402275925,4.11351262322441
"33",9,2009,38.1298889210451,4.29571226090067
"34",10,2009,39.2475376122469,4.5257034265801
"35",11,2009,40.89788924254,3.9926003452869
"36",12,2009,36.0816847519406,2.38071136096379
"37",1,2010,31.2654802617574,2.90675395515666
"38",2,2010,32.1156623429321,3.14128590943291
"39",3,2010,33.1008084749954,3.16415828390944
"40",4,2010,30.4505941437058,3.68704426607222
"41",5,2010,31.0467043713595,4.19938967589907
"42",6,2010,31.6428146343083,6.09958862403844
"43",7,2010,30.7533784090366,3.18500547403714
"44",8,2010,31.1624606581941,3.62432942487026
"45",9,2010,32.0463311139252,3.14875203453883
"46",10,2010,30.7210652149422,3.57944525139757
"47",11,2010,31.5196925870245,3.81648817485277
"48",12,2010,30.7182142139193,7.07289233223422
"49",1,2011,55.2133451248849,8.35344522481309
"50",2,2011,52.1102480383502,5.28410100777913
"51",3,2011,49.2082266353347,2.5957422834044
"52",4,2011,43.5778203746472,2.57787225309765
"53",5,2011,24.6977493628443,3.3116622695751
"54",6,2011,23.5815700712788,2.56196279310746
"55",7,2011,25.7360729831697,4.19455324399163
"56",8,2011,27.335201227815,3.49868328110767
"57",9,2011,32.2106258843213,3.02886766979641
"58",10,2011,32.7999673318891,4.43016186965491
"59",11,2011,34.6123179040578,4.80306994838521
"60",12,2011,39.9250317957801,4.96994417439379
"61",1,2012,92.4771147081406,6.77878838441402
"62",2,2012,110.288515828432,8.14286292955092
"63",3,2012,137.491758143034,11.8840649506727
"64",4,2012,102.854577891378,19.3431451706944
"65",5,2012,38.9033085572527,3.63403707344695
"66",6,2012,44.5015441940215,6.07153044922821
"67",7,2012,54.9028316281903,9.53284118031508
"68",8,2012,56.5303893407032,7.06214102132594
"69",9,2012,57.0346339821421,6.94808383166405
"70",10,2012,58.5034205338088,6.4400270477003
"71",11,2012,63.5632609561146,6.7543744683062
"72",12,2012,70.2969023276672,8.3667835736371
"73",1,2013,146.812493957741,10.9577623587401
"74",2,2013,128.843006674856,11.5549932002668
"75",3,2013,113.75748012196,6.24629659292864
"76",4,2013,99.9129559066597,15.2285287527617
"77",5,2013,88.2309927614416,6.36372434389315
