ea_id,district,region
10740227,Mzimba,North
10740228,Mzimba,North
10740229,Mzimba,North
10740230,Mzimba,North
10741249,Mzimba,North
10741504,Mzimba,North
10743250,Mzimba,North
10744039,Mzimba,North
10744154,Mzimba,North
10744251,Mzimba,North
10744252,Mzimba,North
10744253,Mzimba,North
10744649,Mzimba,North
10745234,Mzimba,North
10745235,Mzimba,North
10745236,Mzimba,North
10746033,Mzimba,North
10746244,Mzimba,North
10746254,Mzimba,North
10301026,Nkhata Bay,North
10301148,Nkhata Bay,North
10301149,Nkhata Bay,North
10301150,Nkhata Bay,North
10301151,Nkhata Bay,North
10301306,Nkhata Bay,North
10301347,Nkhata Bay,North
10301663,Nkhata Bay,North
10301741,Nkhata Bay,North
10302010,Nkhata Bay,North
10302152,Nkhata Bay,North
10302153,Nkhata Bay,North
10303153,Nkhata Bay,North
10303154,Nkhata Bay,North
10303454,Nkhata Bay,North
10304012,Nkhata Bay,North
10304154,Nkhata Bay,North
10304155,Nkhata Bay,North
10304156,Nkhata Bay,North
10304360,Nkhata Bay,North
10304625,Nkhata Bay,North
10305156,Nkhata Bay,North
10305157,Nkhata Bay,North
10305158,Nkhata Bay,North
10305446,Nkhata Bay,North
10306157,Nkhata Bay,North
10306158,Nkhata Bay,North
10306159,Nkhata Bay,North
10306160,Nkhata Bay,North
10306417,Nkhata Bay,North
10306431,Nkhata Bay,North
10307159,Nkhata Bay,North
10307161,Nkhata Bay,North
10307413,Nkhata Bay,North
10308129,Nkhata Bay,North
10308160,Nkhata Bay,North
10308162,Nkhata Bay,North
10308636,Nkhata Bay,North
10309161,Nkhata Bay,North
10309163,Nkhata Bay,North
10309164,Nkhata Bay,North
10309273,Nkhata Bay,North
10309281,Nkhata Bay,North
10310163,Nkhata Bay,North
10310165,Nkhata Bay,North
10310469,Nkhata Bay,North
10312048,Nkhata Bay,North
10312078,Nkhata Bay,North
10312164,Nkhata Bay,North
10312165,Nkhata Bay,North
10312166,Nkhata Bay,North
10312167,Nkhata Bay,North
10312168,Nkhata Bay,North
10312169,Nkhata Bay,North
10312187,Nkhata Bay,North
10312600,Nkhata Bay,North
10320168,Nkhata Bay,North
10320170,Nkhata Bay,North
10320171,Nkhata Bay,North
10320227,Nkhata Bay,North
20201109,Nkhotakota,Central
20201206,Nkhotakota,Central
20201261,Nkhotakota,Central
20201262,Nkhotakota,Central
20201263,Nkhotakota,Central
20201264,Nkhotakota,Central
20201265,Nkhotakota,Central
20201266,Nkhotakota,Central
20201269,Nkhotakota,Central
20201280,Nkhotakota,Central
20201281,Nkhotakota,Central
20201282,Nkhotakota,Central
20201283,Nkhotakota,Central
20201284,Nkhotakota,Central
20201285,Nkhotakota,Central
20201354,Nkhotakota,Central
20201450,Nkhotakota,Central
20201646,Nkhotakota,Central
20202268,Nkhotakota,Central
20202286,Nkhotakota,Central
20202343,Nkhotakota,Central
20203135,Nkhotakota,Central
20203269,Nkhotakota,Central
20203287,Nkhotakota,Central
20203288,Nkhotakota,Central
20203289,Nkhotakota,Central
20203290,Nkhotakota,Central
20203291,Nkhotakota,Central
20203494,Nkhotakota,Central
20203656,Nkhotakota,Central
20203694,Nkhotakota,Central
20204124,Nkhotakota,Central
20204270,Nkhotakota,Central
20204271,Nkhotakota,Central
20204272,Nkhotakota,Central
20204292,Nkhotakota,Central
20204293,Nkhotakota,Central
20204712,Nkhotakota,Central
20205207,Nkhotakota,Central
20205273,Nkhotakota,Central
20205294,Nkhotakota,Central
20205295,Nkhotakota,Central
20205296,Nkhotakota,Central
20205297,Nkhotakota,Central
20205298,Nkhotakota,Central
20205484,Nkhotakota,Central
20205525,Nkhotakota,Central
20205634,Nkhotakota,Central
20205700,Nkhotakota,Central
20205721,Nkhotakota,Central
20206243,Nkhotakota,Central
20206274,Nkhotakota,Central
20206275,Nkhotakota,Central
20206276,Nkhotakota,Central
20206277,Nkhotakota,Central
20206278,Nkhotakota,Central
