enum_old,population,enum
10203014,2490.796704,10203114
10203015,5244.986019,10203115
10203016,992.7977142,10203116
10203017,1600.786961,10203117
10203018,2031.628726,10203118
10203019,1087.49224,10203119
10203020,2668.911171,10203120
10203021,700.8352216,10203121
10203022,2069.111343,10203122
10203023,2391.136563,10203123
10203024,2016.981608,10203124
10203025,2284.818642,10203125
10203026,1823.772982,10203126
10203027,2085.396187,10203127
10203028,1468.02504,10203128
10203029,2484.611804,10203129
10203030,1904.930624,10203130
10203031,1577.373679,10203131
10203032,2162.332504,10203132
10203033,2477.646087,10203133
10203034,2377.296474,10203134
10203035,1217.543771,10203135
10203036,1198.420382,10203136
10203037,649.8894061,10203137
10203038,628.7934293,10203138
10203039,526.0029226,10203139
10203040,1486.289119,10203140
10203041,1846.53009,10203141
10203042,1170.516416,10203142
10203043,2471.316754,10203143
10203044,2371.202183,10203144
10203801,464.7917289,10203901
10203901,181.3083458,10204001
10203902,61.165169,10204002
10203903,137.5429432,10204003
10203904,173.6541204,10204004
10204001,1837.910641,10204101
10204002,1744.008883,10204102
10204003,1716.231944,10204103
10204004,1336.613273,10204104
10204005,2522.520389,10204105
10204006,1507.886783,10204106
10204007,3053.204663,10204107
10204008,3148.828547,10204108
10204009,3156.662675,10204109
10204010,2173.789423,10204110
10204011,2157.943577,10204111
10204012,2898.40975,10204112
10204013,1358.743609,10204113
10204014,3180.666374,10204114
10204015,4789.215422,10204115
10204016,2715.351056,10204116
10204017,3037.883819,10204117
10204018,2836.893961,10204118
10204019,1000.841763,10204119
10204020,3403.4366,10204120
10204021,1547.546283,10204121
10204022,3212.29312,10204122
10204801,2529.295157,10204901
10204802,1077.363037,10204902
10204803,974.7223148,10204903
10204804,1439.830794,10204904
10204805,2307.764332,10204905
10204806,2845.355399,10204906
10204901,929.820124,10205001
10204902,214.043958,10205002
10205001,1061.164937,10205101
10205002,1575.020623,10205102
10205003,2187.055698,10205103
10205004,2048.395076,10205104
10205005,3683.642941,10205105
10205006,2510.748252,10205106
10205007,3077.964197,10205107
10205008,3296.587458,10205108
10205009,2882.757363,10205109
10205010,1890.931939,10205110
10205011,1531.412344,10205111
10205012,3210.133926,10205112
10205013,1528.987203,10205113
10205014,2788.17672,10205114
10205801,1336.745678,10205901
10205901,212.0891956,10206001
10206903,0.35344678,10207003
10220701,1792.232299,10220801
10220702,1654.916193,10220802
10220703,3004.525416,10220803
10220704,2362.125002,10220804
10220705,1171.885036,10220805
10220706,3249.797872,10220806
10220707,4902.616573,10220807
10220708,8446.50878,10220808
10220709,1527.367585,10220809
10220710,1224.574953,10220810
10220711,2473.672544,10220811
10220712,578.1514716,10220812
10220713,638.7817712,10220813
10220714,2801.496289,10220814
10220715,327.6221905,10220815
10220716,1122.518799,10220816
10220717,2274.216777,10220817
10220718,3158.30569,10220818
10220719,1784.934742,10220819
10220720,1001.99903,10220820
10220721,3041.837397,10220821
10220722,1797.802504,10220822
10301001,1549.37226,10301101
10301002,1259.752842,10301102
10301003,1125.366044,10301103
10301004,2625.400292,10301104
10301005,1760.24267,10301105
10301006,2611.142418,10301106
10301007,3120.345197,10301107
10301008,1405.442302,10301108
10301009,882.1454124,10301109
10301010,1969.538174,10301110
10301011,2988.391594,10301111
10301012,843.8105429,10301112
10301013,1586.247594,10301113
10301014,2990.551661,10301114
10301015,1323.09364,10301115
10301016,2315.508164,10301116
10301017,3173.649881,10301117
10301018,1287.793327,10301118
10301019,1850.819194,10301119
10301020,4040.916299,10301120
10301021,2133.835266,10301121
10301801,320.6454867,10301901
10301901,576.4101121,10302001
10301902,1057.158321,10302002
10301903,1098.432928,10302003
10301904,30.01616054,10302004
10301905,57.69290044,10302005
10301906,161.7920979,10302006
10302001,1254.182555,10302101
10302002,1444.536893,10302102
10302003,2230.237642,10302103
10302004,1456.449908,10302104
10302005,2473.853481,10302105
10302006,1299.826442,10302106
10302007,3281.917965,10302107
10302008,2308.535371,10302108
10302009,1883.566497,10302109
10302901,803.836802,10303001
10302902,1638.554368,10303002
10302903,757.5911274,10303003
10302904,113.0036802,10303004
10303001,1098.030248,10303101
